action,subscription_id,subscription_created_at,organization_name,sending_tool,target_client_name,target_client_status,notes
bind_existing,sub_1RBm7sH18UpSuS1kpsMLLgRb,2025-04-09,HH Compute,Email Bison,Hello Hero,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1RBmCCH18UpSuS1k7lDjjNOP,2025-04-09,HH System,Email Bison,Hello Hero,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1RBmFTH18UpSuS1kn8a9lE2D,2025-04-09,HH Server farm,Email Bison,Hello Hero,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1RBmHWH18UpSuS1kRCugfW9O,2025-04-09,HH Scaling system,Email Bison,Hello Hero,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1RBmN6H18UpSuS1kpDjn1Wv9,2025-04-09,HH Load balancer,Email Bison,Hello Hero,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1RF3eLH18UpSuS1kEqsg4qKv,2025-04-18,Stable Kernel Network HT,Instantly.ai,Stable Kernel,(unchanged),"seeded 2026-05-18, sending_tool=Instantly.ai"
bind_existing,sub_1RGlfzH18UpSuS1kYBS58mS5,2025-04-22,Charm Message broker,Email Bison,Charm,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1RoBDnH18UpSuS1kUQiGhQ9V,2025-07-23,Root Access,Smartlead.ai,Root Access,(unchanged),"seeded 2026-05-18, sending_tool=Smartlead.ai"
bind_existing,sub_1RoCILH18UpSuS1kyMMCaT36,2025-07-23,Root Access ,Email Bison,Root Access,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1RoCNNH18UpSuS1kPQwcwBut,2025-07-23,Root Access ,Email Bison,Root Access,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1RoCUuH18UpSuS1k5pIst6cq,2025-07-23,Root Access ,Email Bison,Root Access,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1RoCipH18UpSuS1kIC9Cw6I5,2025-07-24,Root Access ,Smartlead.ai,Root Access,(unchanged),"seeded 2026-05-18, sending_tool=Smartlead.ai"
bind_existing,sub_1RoCsxH18UpSuS1kyP2MFFYk,2025-07-24,Root Access ,Smartlead.ai,Root Access,(unchanged),"seeded 2026-05-18, sending_tool=Smartlead.ai"
bind_existing,sub_1RqhYzH18UpSuS1kc1WVJ3xt,2025-07-30,Stone Products Unlimited,Email Bison,SPUI,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1RqhyyH18UpSuS1koWWUGkBi,2025-07-30,Sammy AI ,Email Bison,Sammy,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1Rqi6aH18UpSuS1kqckxpIvw,2025-07-30,Sammy AI ,Email Bison,Sammy,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1RqiBxH18UpSuS1kX5QnhGCK,2025-07-30,Sammy AI ,Email Bison,Sammy,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1RqiMtH18UpSuS1kGopzmcHt,2025-07-30,Sammy AI ,Email Bison,Sammy,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1RqiS0H18UpSuS1k8N9faGER,2025-07-30,Sammy AI ,Email Bison,Sammy,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1RqiXEH18UpSuS1kaao9CkNv,2025-07-30,Sammy AI ,Email Bison,Sammy,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1RqieZH18UpSuS1kZhWvUwDk,2025-07-30,Sammy AI ,Instantly.ai,Sammy,(unchanged),"seeded 2026-05-18, sending_tool=Instantly.ai"
bind_existing,sub_1Rqip8H18UpSuS1kAAK7IwX7,2025-07-30,Sammy AI ,Instantly.ai,Sammy,(unchanged),"seeded 2026-05-18, sending_tool=Instantly.ai"
bind_existing,sub_1RqiuzH18UpSuS1kp1UrXDfA,2025-07-30,Sammy AI ,Instantly.ai,Sammy,(unchanged),"seeded 2026-05-18, sending_tool=Instantly.ai"
bind_existing,sub_1RqjFaH18UpSuS1kiJfJFrdI,2025-07-30,Sammy AI ,Instantly.ai,Sammy,(unchanged),"seeded 2026-05-18, sending_tool=Instantly.ai"
bind_existing,sub_1S1CncH18UpSuS1kOpNlcwfs,2025-08-28,Checkout Components ,Email Bison,Checkout Components,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1S1CtaH18UpSuS1kiWzd1uTW,2025-08-28,Checkout Components ,Email Bison,Checkout Components,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1S1CxJH18UpSuS1kIMRHOJz7,2025-08-28,Checkout Components ,Email Bison,Checkout Components,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1S1DTZH18UpSuS1kJmLfXzjg,2025-08-28,Checkout Components ,Email Bison,Checkout Components,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1S1DXHH18UpSuS1k9tjZ5DZF,2025-08-28,Checkout Components ,Email Bison,Checkout Components,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1S1DarH18UpSuS1kBZuVPDX7,2025-08-28,Checkout Components ,Email Bison,Checkout Components,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1S1DhbH18UpSuS1kJYKDovsJ,2025-08-28,Checkout Components ,Email Bison,Checkout Components,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1S1DmyH18UpSuS1kL6fR8rpA,2025-08-28,Checkout Components ,Email Bison,Checkout Components,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1S1DzJH18UpSuS1kBVojk1pp,2025-08-28,Checkout Components ,Email Bison,Checkout Components,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1S1E6pH18UpSuS1klyuhqdLQ,2025-08-28,Checkout Components ,Email Bison,Checkout Components,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1S1EFFH18UpSuS1ksZITgwP2,2025-08-28,Checkout Components ,Email Bison,Checkout Components,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1S5Xx7H18UpSuS1kKqRyKgVD,2025-09-09,Root Access,Email Bison,Root Access,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
bind_existing,sub_1S5YVQH18UpSuS1kvQp3K2ES,2025-09-09,Stone Products Unlimited Inc,Email Bison,SPUI,(unchanged),"seeded 2026-05-18, sending_tool=Email Bison"
